1-butanol,897
"1,4-dimethylbenzene",600
"1,2-dimethylbenzene",592
"1,3-dimethylbenzene",557
toluene,451
2-methyl-2-butanol,450
1-propanol,430
ethanol,408
benzene,393
2-propanol,352
2-methoxyethanol,306
ethylbenzene,242
"1,3-butanediol",204
1-hexanol,204
2-phenylethanol,198
1-octanol,184
1-heptanol,181
benzyl alcohol,156
2-butoxyethanol,155
1-propoxy-2-propanol,145
"1,4-butanediol",142
butan-2-ol,136
tetrahydrofuran,116
"1,3,5-trimethylbenzene",115
octane,113
"2,2,4-trimethylpentane",94
1-pentanol,78
methylcyclohexane,73
cyclohexane,73
dibutyl ether,73
2-methyl-1-propanol,71
"1,2-ethanediol",67
cyclopentane,66
hexane,62
isopropyl ether,58
methoxybenzene,54
"1,4-dioxane",51
2-(2-methylpropoxy)ethanol,45
2-methyl-2-propanol,45
"1,2-benzenediol",40
"1,3-benzenediol",35
2-methylphenol,32
4-methylphenol,32
3-methylphenol,32
methanol,31
"furfuryl alcohol, tetrahydro-",30
"ethanol, 2-ethoxy-",27
2-hydroxymethylfuran,24
diethyl ether,23
pentaerythritol,22
2-isopropoxyethanol,18
water,18
"2,5,8-trioxanonane",18
"3,6-dioxa-1-octanol",16
2-(2-methoxyethoxy)ethanol,16
cyclohexanol,15
tetrahydropyran,14
naphthalene,10
2-ethyl-1-hexanol,10
cis-decalin,9
