tert-pentyl alcohol__water,16
2-methyl-1-butanol__water,15
"1-butanol, 3-methyl-__water",15
pentan-2-ol__water,13
3-pentanol__water,11
3-methyl-2-butanol__water,10
furan__water,9
1-butanol__water,8
"decane__1,3-propanediol",5
glycerol__ethanol,5
glycerol__water,5
toluene__methoxymethane,5
"2-methylpropane__1,3-dimethylbenzene",5
"propane__1,2-dimethylbenzene",5
"1,4-dimethylbenzene__butane",5
"2-methylpropane__1,2-dimethylbenzene",5
2-methylpropane__toluene,5
"1,2-dimethylbenzene__methoxymethane",5
"octane__1,3-propanediol",5
butane__toluene,5
propane__toluene,5
"1,3-dimethylbenzene__methoxymethane",5
"1,4-dimethylbenzene__methoxymethane",5
"2-methylpropane__1,4-dimethylbenzene",5
"1,2-dimethylbenzene__butane",5
"propane__1,3-dimethylbenzene",5
"propane__1,4-dimethylbenzene",5
"butane__1,3-dimethylbenzene",5
"butane, 2-ethoxy-2-methyl-__water",4
benzene__butane,4
benzene__methoxymethane,4
toluene__water,4
tert-butyl ethyl ether__water,4
methyl tert-butyl ether__water,4
benzene__propane,4
benzene__2-methylpropane,4
tert-amyl methyl ether__water,4
diethylene glycol__cycloheptane,3
n-octane__triethylene glycol,3
triethylene glycol__n-heptane,3
2-propanol__triethylene glycol,3
n-nonane__triethylene glycol,3
n-hexane__diethylene glycol,3
triethylene glycol__cycloheptane,3
2-propanol__diethylene glycol,3
cyclohexane__diethylene glycol,3
cyclohexane__triethylene glycol,3
ethanol__triethylene glycol,3
benzene__triethylene glycol,3
ethylbenzene__triethylene glycol,3
diethylene glycol__n-nonane,3
diethylene glycol__cyclopentane,3
ethylbenzene__diethylene glycol,3
1-propanol__triethylene glycol,3
diethylene glycol__cyclooctane,3
toluene__diethylene glycol,3
n-pentane__triethylene glycol,3
diethylene glycol__n-heptane,3
"hexane__1,3-propanediol",3
n-pentane__diethylene glycol,3
methanol__diethylene glycol,3
1-propanol__diethylene glycol,3
triethylene glycol__cyclooctane,3
n-hexane__triethylene glycol,3
triethylene glycol__cyclopentane,3
"1,2-ethanediol__hexane",3
toluene__triethylene glycol,3
diethylene glycol__n-octane,3
"1,2-ethanediol__decane",3
ethanol__diethylene glycol,3
benzene__diethylene glycol,3
methanol__triethylene glycol,2
2-methylphenol__nonane,2
3-methylphenol__nonane,2
methyl cellosolve__n-decane,1
methylcyclopentane__methyl cellosolve,1
propylene glycol__n-octane,1
methyl cellosolve__cyclohexane,1
methyl cellosolve__cyclooctane,1
2-methylphenol__decane,1
methylcyclohexane__methyl cellosolve,1
benzene__methyl cellosolve,1
m-xylene__methyl cellosolve,1
propylene glycol__toluene,1
propylene glycol__benzene,1
o-xylene__methyl cellosolve,1
propylene glycol__ethylbenzene,1
propylene glycol__m-xylene,1
propylene glycol__naphthalene,1
3-methylphenol__decane,1
p-cymene__methyl cellosolve,1
toluene__methyl cellosolve,1
naphthalene__methyl cellosolve,1
propylene glycol__n-heptane,1
ethylbenzene__methyl cellosolve,1
p-xylene__methyl cellosolve,1
methyl cellosolve__n-heptane,1
methyl cellosolve__n-hexane,1
propylene glycol__n-hexane,1
methyl cellosolve__n-nonane,1
propylene glycol__o-xylene,1
propylene glycol__p-xylene,1
methyl cellosolve__n-octane,1
