methanol__2-propanol,105
ethanol__methanol,105
methanol__2-methyl-1-propanol,105
methanol__1-butanol,105
methanol__1-propanol,105
methanol__2-methyl-2-propanol,95
"nonane__2,5,8-trioxanonane",66
"1,2-dimethoxyethane__nonane",66
pentan-1-ol__n-octane,45
n-octane__butyl oxide,45
pentan-1-ol__butyl oxide,45
"triethylene glycol__ethanol, 2-propoxy-",39
"bis(2-hydroxyethyl) ether__ethanol, 2-propoxy-",39
"2,5,8-trioxanonane__heptane",33
dimethylglycol__heptane,31
"1,2-ethanediol__water",10
glycerol__water,8
"1,2-propanediol__water",8
"1,3-propanediol__water",8
