"1,2-ethanediol__water",135
"1,2-propanediol__water",114
"1,4-butanediol__water",109
"1,3-propanediol__water",90
"1,2-hexanediol__water",60
"butan-1-ol__butane, 1,4-dihydroxy-",40
2-methyl-2-butanol__tetrahydrofuran,39
1-butanol__hexane,31
ethanol__hexane,23
"hexane__ether, methyl tert-pentyl",19
tetrahydropyran__heptane,14
"butane, 1,4-dihydroxy-__water",14
"1,3-dimethylbenzene__tetrahydropyran",14
"1,4-dimethylbenzene__tetrahydropyran",14
"1,3-butanediol__water",14
cyclohexane__tetrahydropyran,14
n-hexane__tetrahydropyran,14
"1,2-butanediol__water",14
toluene__tetrahydropyran,14
benzene__tetrahydropyran,14
"2,3-butanediol__water",14
"1,2-dimethylbenzene__tetrahydropyran",14
trimethylene glycol__water,14
