decane,9289
1-butanol,1327
heptane,1254
ethanol,1169
2-methyl-1-propanol,721
1-hexanol,664
1-propanol,659
toluene,641
water,634
methanol,606
1-pentanol,396
cyclohexane,368
2-propanol,357
1-octanol,356
octane,317
"1,2-ethanediol",314
1-heptanol,313
nonane,273
"1,2-propanediol",272
benzene,251
hexane,196
"1,2-dimethoxyethane",193
1-nonanol,184
"1,2-butanediol",157
2-hexanol,154
methylcyclohexane,142
"1,3-propanediol",136
dimethoxymethane,119
"2,5-dimethylfuran",119
"1,4-dimethylbenzene",116
ethylbenzene,110
2-methylfuran,109
furan,108
methoxymethane,108
2-methylheptane,107
"2,3-dimethylbutane",101
"2,2-dimethylbutane",101
3-methylpentane,100
2-methylpentane,100
"1,4-butanediol",98
bis(2-hydroxyethyl) ether,96
tetrahydrofuran,96
dibutyl ether,83
xylene,83
triethylene glycol,81
"2,5,8-trioxanonane",80
trans-decalin,78
"1,4-dioxane",77
"1,3-dimethylbenzene",76
butan-2-ol,75
2-methyl-2-propanol,65
methoxybenzene,63
diethyl ether,61
methyl tert-butyl ether,59
2-methylpropane,58
butane,50
isopropyl ether,47
"2,2,4-trimethylpentane",45
glycerol,43
benzyl alcohol,37
3-methyl-1-butanol,37
2-methyl-2-butanol,37
tetrahydropyran,35
2-methoxyethanol,35
tert-butyl ethyl ether,32
2-ethyl-1-hexanol,29
"ethanol, 2-ethoxy-",28
2-pentanol,26
"1,3-butanediol",26
"1,3,5-trimethylbenzene",25
ethane,25
hexylene glycol,23
2-butoxyethanol,20
cyclopentane,18
exo-tetrahydrodicyclopentadiene,18
2-phenylethanol,17
"1,2-hexanediol",15
2-ethyl-1-butanol,15
pentane,15
"1,2,4-trimethylbenzene",14
"1,3-dioxolane",13
cyclooctane,12
"1,2,3,4-tetrahydronaphthalene",12
2-heptanol,11
2-methyl-1-butanol,11
1-propoxy-2-propanol,10
2-(2-methoxyethoxy)ethanol,10
2-methyltetrahydrofuran,10
cyclohexene oxide,10
1-methoxy-2-propanol,9
4-methylphenol,9
dipropyl ether,9
butyl isobutyl ether,8
"ether, ethyl butyl",8
ethyl hexyl ether,8
3-methylphenol,8
pentyl propyl ether,8
cyclohexyl alcohol,8
isopropylbenzene,7
propylbenzene,6
"2,5-hexanediol",6
ethylcyclohexane,6
"1,2,4-trimethylcyclohexane",6
cyclopentanol,6
"1,5-hexanediol",6
butylcyclohexane,6
1-butoxy-2-propanol,5
"1,2-pentanediol",5
.alpha.-methylbenzyl alcohol,5
propylene glycol monoethyl ether,5
"propanol, oxybis-",5
"3,6-dioxa-1-octanol",5
2-butoxy-1-propanol,5
butylbenzene,5
"ethanol, 2-propoxy-",4
ethoxybenzene,4
4-methyl-2-pentanol,3
2-methyl-1-pentanol,3
2-methyl-2-pentanol,3
paraldehyde,3
methylcyclopentane,3
"2,2-dimethoxypropane",3
tert-amyl methyl ether,3
isobutylbenzene,3
3-pentanol,3
3-hexanol,3
"2,3-butanediol",3
"1,1-diethoxyethane",3
phenol,2
2-octanol,2
"butane, 2-ethoxy-2-methyl-",2
"1,5-pentanediol",1
"2,2-dimethyl-1,3-dioxolane",1
butyl tert-butyl ether,1
"3,6-dioxaoctane",1
"furfuryl alcohol, tetrahydro-",1
1-ethyl-2-methylbenzene,1
3-phenyl-1-propanol,1
2-(2-propoxyethoxy)ethanol,1
2-hydroxymethylfuran,1
dipropylene glycol monomethyl ether,1
2-isopropoxyethanol,1
"2,2-dimethyl-1,3-dioxolane-4-methanol",1
