toluene,235
water,183
methanol,142
heptane,132
hexane,93
ethanol,91
1-butanol,85
nonane,81
3-methyl-3-pentanol,80
3-pentanol,80
3-ethyl-3-pentanol,80
1-octanol,78
1-pentanol,78
1-propanol,78
1-heptanol,77
"2,5,8-trioxanonane",71
"1,2-dimethoxyethane",70
1-hexanol,64
"1,3-butanediol",63
1-nonanol,62
"1,2-butanediol",60
"1,3-propanediol",56
cyclohexane,55
2-propanol,53
hexylene glycol,49
2-ethyl-1-butanol,48
"1,4-butanediol",46
benzene,45
2-methyl-2-butanol,43
2-methyl-1-butanol,43
cyclopentanol,43
tetrahydrofuran,43
"1,4-dimethylbenzene",43
"1,2-propanediol",40
methyl tert-butyl ether,33
"1,4-dioxane",32
xylene,31
"1,2-ethanediol",26
2-methylfuran,25
"2,5-dimethylfuran",25
tert-butyl ethyl ether,24
"1,3-dimethylbenzene",22
isopropyl ether,22
decane,21
tetrahydropyran,19
octane,16
2-methyl-2-propanol,16
2-methyl-1-propanol,15
cyclopentane,15
ethylbenzene,14
butan-2-ol,13
"1,2,3,4-tetrahydronaphthalene",13
"2,2,4-trimethylpentane",12
2-phenylethanol,12
triethylene glycol,12
bis(2-hydroxyethyl) ether,12
furan,11
"ethanol, 2-ethoxy-",11
"1,3-dioxolane",11
1-propoxy-2-propanol,10
2-methoxyethanol,10
benzyl alcohol,10
methylcyclohexane,8
2-pentanol,6
methoxybenzene,6
dibutyl ether,6
2-octanol,5
2-butoxy-1-propanol,5
2-methyloctane,5
"3,6-dioxa-1-octanol",5
"nonane, 2-methyl-",5
4-methyloctane,5
propylene glycol monoethyl ether,5
"octane, 3,6-dimethyl-",5
1-methoxy-2-propanol,5
1-butoxy-2-propanol,5
2-butoxyethanol,5
cyclohexyl alcohol,5
"heptane, 3,5-dimethyl-",5
2-(2-methoxyethoxy)ethanol,4
2-ethyl-1-hexanol,4
2-methyltetrahydrofuran,4
3-methyl-1-butanol,4
cyclooctane,4
isopropylbenzene,4
isobutylbenzene,3
"1,3,5-trimethylbenzene",3
butylbenzene,3
methylcyclopentane,3
2-heptanol,2
"1,5-pentanediol",2
"2,3-butanediol",2
2-hexanol,2
dipropylene glycol monomethyl ether,1
2-isopropoxyethanol,1
2-hydroxymethylfuran,1
tert-amyl methyl ether,1
diethyl ether,1
trans-decalin,1
"furfuryl alcohol, tetrahydro-",1
